Row ID,Record ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Claire Gute,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Interest Score,Time n website minutes,Marketing Channel,Customer Segment,Trial Purchase
4102,2,US-2017-102288,"Monday, June 19, 2017","Friday, June 23, 2017",Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77095,Central,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,0.44,1,0.8,-1.11,8,3,Social Media,Low,Yes
9293,3,CA-2017-124114,"Thursday, March 2, 2017","Thursday, March 2, 2017",Same Day,RS-19765,Trudy Brown,Corporate,United States,Waco,Texas,76706,Central,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,0.56,1,0.8,-0.95,8,2,Social Media,High,Yes
8659,4,CA-2016-168361,"Tuesday, June 21, 2016","Saturday, June 25, 2016",Standard Class,KB-16600,Matt Hagelstein,Corporate,United States,Chicago,Illinois,60623,Central,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,0.84,1,0.8,-1.34,6,17,Email,Middle,No
2107,5,US-2014-152723,"Friday, September 26, 2014","Friday, September 26, 2014",Same Day,HG-14965,Sandra Glassco,Corporate,United States,Mesquite,Texas,75150,Central,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,0.88,1,0.8,-1.40,10,7,Email,Middle,Yes
7549,6,CA-2014-103492,"Friday, October 10, 2014","Wednesday, October 15, 2014",Standard Class,CM-12715,Elizabeth Moffitt,Corporate,United States,Huntsville,Texas,77340,Central,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,0.90,1,0.8,-1.57,2,20,Referral,High,Yes
8025,7,CA-2014-129189,"Monday, July 21, 2014","Friday, July 25, 2014",Standard Class,HM-14860,Don Miller,Corporate,United States,Dallas,Texas,75217,Central,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,1.04,1,0.8,-1.83,5,14,Referral,High,No
4875,8,CA-2017-164042,"Tuesday, May 23, 2017","Saturday, May 27, 2017",Standard Class,KL-16645,Katherine Nockton,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,1.19,1,0.8,-1.96,6,9,Social Media,High,No
3326,9,CA-2014-165309,"Tuesday, November 11, 2014","Saturday, November 15, 2014",Standard Class,KD-16270,Karen Daniels,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10001267,Office Supplies,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",1.23,1,0.8,-1.97,4,3,Email,Middle,No
5857,10,CA-2015-112214,"Wednesday, August 5, 2015","Tuesday, August 11, 2015",Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Dallas,Texas,75220,Central,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,1.36,1,0.8,-2.18,2,5,Social Media,High,No
9305,11,US-2015-163433,"Saturday, April 18, 2015","Wednesday, April 22, 2015",Second Class,MP-17965,Marc Harrigan,Corporate,United States,Mcallen,Texas,78501,Central,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,1.48,1,0.8,-2.29,1,19,Referral,High,Yes
8980,12,CA-2015-150413,"Monday, October 19, 2015","Saturday, October 24, 2015",Second Class,CS-11860,Delfina Latchford,Consumer,United States,Dallas,Texas,75220,Central,OFF-BI-10000404,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,1.72,1,0.8,-2.84,4,18,Email,High,No
4188,13,CA-2017-112536,"Thursday, May 18, 2017","Tuesday, May 23, 2017",Standard Class,SG-20890,Susan Gilcrest,Corporate,United States,Mcallen,Texas,78501,Central,OFF-BI-10002571,Office Supplies,Binders,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",2.00,1,0.8,-3.29,6,4,Referral,Low,Yes
6056,14,CA-2016-113551,"Thursday, August 18, 2016","Saturday, August 20, 2016",First Class,NF-18385,Natalie Fritzler,Consumer,United States,Edinburg,Texas,78539,Central,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,2.07,1,0.8,-3.41,6,14,Referral,Middle,Yes
4436,15,CA-2016-163398,"Tuesday, May 3, 2016","Sunday, May 8, 2016",Standard Class,CB-12415,Christy Brittain,Consumer,United States,Chicago,Illinois,60653,Central,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,2.18,1,0.8,-3.60,2,7,Social Media,Middle,No
4101,16,US-2017-102288,"Monday, June 19, 2017","Friday, June 23, 2017",Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77095,Central,OFF-AP-10004655,Office Supplies,Appliances,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",2.26,1,0.8,-5.21,10,10,Referral,High,No
6252,17,CA-2014-101147,"Tuesday, December 2, 2014","Thursday, December 4, 2014",First Class,MC-17575,Valerie Mitchum,Consumer,United States,Chicago,Illinois,60623,Central,OFF-AP-10004249,Office Supplies,Appliances,Staple holder,2.39,1,0.8,-6.34,10,19,Referral,Middle,Yes
7787,18,US-2016-117037,"Tuesday, May 17, 2016","Friday, May 20, 2016",First Class,LW-17215,Luke Weiss,Consumer,United States,Chicago,Illinois,60653,Central,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",2.89,1,0.8,-4.77,6,18,Referral,Middle,Yes
3233,19,US-2017-156356,"Sunday, April 16, 2017","Saturday, April 22, 2017",Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,Houston,Texas,77095,Central,OFF-BI-10001107,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",2.90,1,0.8,-4.78,3,6,Referral,Middle,No
6798,20,CA-2015-168809,"Tuesday, August 25, 2015","Tuesday, August 25, 2015",Same Day,MC-18100,Mick Crebagga,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10000315,Office Supplies,Binders,Poly Designer Cover & Back,3.80,1,0.8,-6.08,2,10,Referral,Middle,Yes
6387,21,US-2017-104661,"Sunday, January 15, 2017","Wednesday, January 18, 2017",First Class,TB-21250,Mike Vittorini,Consumer,United States,Austin,Texas,78745,Central,OFF-BI-10001098,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,4.28,1,0.8,-6.63,7,20,Email,High,No
8372,22,CA-2014-165393,"Saturday, December 27, 2014","Tuesday, December 30, 2014",First Class,NC-18415,Steve Carroll,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,4.98,1,0.8,-8.47,7,4,Social Media,High,No
8495,23,CA-2015-109190,"Friday, October 23, 2015","Wednesday, October 28, 2015",Standard Class,CC-12685,Alan Schoenberger,Consumer,United States,Lubbock,Texas,79424,Central,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,6.08,1,0.8,-10.34,8,19,Social Media,High,No
4234,24,CA-2017-100223,"Wednesday, July 5, 2017","Monday, July 10, 2017",Standard Class,LS-16945,Matt Abelman,Corporate,United States,Dallas,Texas,75220,Central,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,6.32,1,0.8,-10.42,7,9,Referral,Middle,No
3394,25,CA-2014-105340,"Saturday, November 22, 2014","Tuesday, November 25, 2014",First Class,EH-14185,Carl Ludwig,Consumer,United States,Pasadena,Texas,77506,Central,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,6.93,1,0.8,-11.08,8,12,Referral,Middle,No
6557,26,CA-2014-137092,"Monday, October 20, 2014","Wednesday, October 22, 2014",Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Chicago,Illinois,60653,Central,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,8.68,1,0.8,-14.76,7,9,Referral,High,No
5698,27,CA-2017-126123,"Saturday, October 14, 2017","Wednesday, October 18, 2017",Standard Class,AG-10765,Evan Bailliet,Home Office,United States,Chicago,Illinois,60623,Central,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,13.46,1,0.8,-23.55,6,4,Referral,Middle,No
9217,28,CA-2017-103765,"Friday, November 24, 2017","Thursday, November 30, 2017",Standard Class,JG-15310,Arthur Wiediger,Corporate,United States,Odessa,Texas,79762,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",13.76,1,0.8,-24.77,6,9,Referral,Middle,No
8877,29,US-2016-141264,"Saturday, August 13, 2016","Friday, August 19, 2016",Standard Class,CT-11995,Gary Zandusky,Consumer,United States,Irving,Texas,75061,Central,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,58.92,1,0.8,-153.20,2,18,Social Media,Middle,No
4712,30,CA-2014-112403,"Monday, March 31, 2014","Monday, March 31, 2014",Same Day,JO-15280,Ed Jacobs,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,0.85,1,0.7,-0.60,7,14,Social Media,Low,No
2606,31,CA-2014-112718,"Tuesday, December 16, 2014","Sunday, December 21, 2014",Standard Class,KN-16450,Michael Granlund,Corporate,United States,Jacksonville,Florida,32216,South,OFF-BI-10000591,Office Supplies,Binders,Avery Binder Labels,1.17,1,0.7,-0.86,7,8,Referral,Middle,No
6598,32,CA-2014-169257,"Friday, June 6, 2014","Thursday, June 12, 2014",Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Jacksonville,Florida,32216,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,1.37,1,0.7,-0.91,1,20,Social Media,Middle,Yes
2728,33,CA-2017-119193,"Friday, December 22, 2017","Sunday, December 24, 2017",First Class,SK-19990,Sally Knutson,Consumer,United States,Toledo,Ohio,43615,East,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,1.64,1,0.7,-1.31,8,16,Email,High,No
8716,34,CA-2017-121678,"Thursday, November 16, 2017","Monday, November 20, 2017",Second Class,BM-11650,Arthur Wiediger,Corporate,United States,Elyria,Ohio,44035,East,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,1.82,1,0.7,-1.40,2,19,Social Media,Middle,Yes
5480,35,CA-2014-101770,"Monday, March 31, 2014","Friday, April 4, 2014",Standard Class,KB-16240,Chris Selesnick,Corporate,United States,Miami,Florida,33180,South,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,1.87,1,0.7,-1.31,8,2,Referral,Middle,No
2071,36,CA-2016-146521,"Thursday, July 21, 2016","Saturday, July 23, 2016",Second Class,CC-12610,Kelly Andreada,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,1.94,1,0.7,-1.29,5,18,Social Media,Middle,Yes
1451,37,US-2015-160150,"Sunday, July 19, 2015","Monday, July 20, 2015",First Class,TS-21085,Mark Cousins,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,2.03,1,0.7,-1.35,10,14,Referral,Middle,Yes
8444,38,US-2016-155173,"Sunday, March 6, 2016","Thursday, March 10, 2016",Standard Class,JB-16045,Julia Barnett,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,2.04,1,0.7,-1.50,2,20,Email,High,No
2958,39,CA-2017-168900,"Thursday, May 4, 2017","Tuesday, May 9, 2017",Standard Class,SH-20395,Kean Takahito,Consumer,United States,Springfield,Ohio,45503,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2.31,1,0.7,-1.93,2,9,Email,High,Yes
6353,40,US-2015-161347,"Sunday, September 13, 2015","Saturday, September 19, 2015",Standard Class,HG-14845,Brendan Sweed,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",2.41,1,0.7,-2.01,5,12,Referral,High,Yes
8216,41,CA-2015-120845,"Friday, September 25, 2015","Friday, October 2, 2015",Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Murfreesboro,Tennessee,37130,South,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,2.47,1,0.7,-1.81,10,14,Referral,Middle,No
8054,42,CA-2017-152205,"Thursday, September 28, 2017","Thursday, October 5, 2017",Standard Class,SF-20965,Cassandra Brandow,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,2.66,1,0.7,-1.86,1,10,Email,Low,Yes
9410,43,US-2017-110149,"Sunday, December 10, 2017","Wednesday, December 13, 2017",First Class,WB-21850,William Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,3.27,1,0.7,-2.51,4,5,Email,Middle,Yes
6257,44,CA-2015-133977,"Sunday, September 6, 2015","Tuesday, September 8, 2015",Second Class,AT-10435,Anthony Rawles,Home Office,United States,Tamarac,Florida,33319,South,OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,3.44,1,0.7,-2.53,6,2,Social Media,Middle,Yes
